Data,Prodotto,Categoria,Quantita,PrezzoUnitario,Totale
2024-02-07,Cuffie ANC,Elettronica,2,200.00,400.00
2024-02-08,Webcam HD,Accessori,3,80.00,240.00
2024-02-09,Stampante Laser,Ufficio,1,180.00,180.00
2024-02-10,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-02-11,Smartphone X,Elettronica,1,800.00,800.00
2024-02-12,Monitor 27,Elettronica,3,300.00,900.00
2024-02-13,Tastiera Meccanica,Accessori,2,100.00,200.00
2024-02-14,Mouse Wireless,Accessori,5,50.00,250.00
2024-02-15,Sedia Ufficio,Arredamento,1,250.00,250.00
2024-02-16,Scrivania Legno,Arredamento,1,450.00,450.00
2024-02-17,Cuffie ANC,Elettronica,1,200.00,200.00
2024-02-18,Webcam HD,Accessori,2,80.00,160.00
2024-02-19,Stampante Laser,Ufficio,1,180.00,180.00
2024-02-20,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-02-21,Smartphone X,Elettronica,2,800.00,1600.00
2024-02-22,Monitor 27,Elettronica,1,300.00,300.00
2024-02-23,Tastiera Meccanica,Accessori,3,100.00,300.00
2024-02-24,Mouse Wireless,Accessori,2,50.00,100.00
2024-02-25,Sedia Ufficio,Arredamento,1,250.00,250.00
2024-02-26,Scrivania Legno,Arredamento,2,450.00,900.00
2024-02-27,Cuffie ANC,Elettronica,1,200.00,200.00
2024-02-28,Webcam HD,Accessori,5,80.00,400.00
2024-03-01,Stampante Laser,Ufficio,1,180.00,180.00
2024-03-02,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-03-03,Smartphone X,Elettronica,1,800.00,800.00
2024-03-04,Monitor 27,Elettronica,1,300.00,300.00
2024-03-05,Tastiera Meccanica,Accessori,1,100.00,100.00
2024-03-06,Mouse Wireless,Accessori,6,50.00,300.00
2024-03-07,Sedia Ufficio,Arredamento,1,250.00,250.00
2024-03-08,Scrivania Legno,Arredamento,1,450.00,450.00
2024-03-09,Cuffie ANC,Elettronica,2,200.00,400.00
2024-03-10,Webcam HD,Accessori,1,80.00,80.00
2024-03-11,Stampante Laser,Ufficio,1,180.00,180.00
2024-03-12,Laptop Pro,Elettronica,2,1200.00,2400.00
2024-03-13,Smartphone X,Elettronica,1,800.00,800.00
2024-03-14,Monitor 27,Elettronica,2,300.00,600.00
2024-03-15,Tastiera Meccanica,Accessori,1,100.00,100.00
2024-03-16,Mouse Wireless,Accessori,4,50.00,200.00
2024-03-17,Sedia Ufficio,Arredamento,2,250.00,500.00
2024-03-18,Scrivania Legno,Arredamento,1,450.00,450.00
2024-03-19,Cuffie ANC,Elettronica,1,200.00,200.00
2024-03-20,Webcam HD,Accessori,2,80.00,160.00
2024-03-21,Stampante Laser,Ufficio,3,180.00,540.00
2024-03-22,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-03-23,Smartphone X,Elettronica,1,800.00,800.00
2024-03-24,Monitor 27,Elettronica,1,300.00,300.00
2024-03-25,Tastiera Meccanica,Accessori,2,100.00,200.00
2024-03-26,Mouse Wireless,Accessori,8,50.00,400.00
2024-03-27,Sedia Ufficio,Arredamento,1,250.00,250.00
2024-03-28,Scrivania Legno,Arredamento,1,450.00,450.00
2024-03-29,Cuffie ANC,Elettronica,1,200.00,200.00
2024-03-30,Webcam HD,Accessori,4,80.00,320.00
2024-03-31,Stampante Laser,Ufficio,1,180.00,180.00
2024-04-01,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-04-02,Smartphone X,Elettronica,3,800.00,2400.00
2024-04-03,Monitor 27,Elettronica,1,300.00,300.00
2024-04-04,Tastiera Meccanica,Accessori,1,100.00,100.00
2024-04-05,Mouse Wireless,Accessori,5,50.00,250.00
2024-04-06,Sedia Ufficio,Arredamento,1,250.00,250.00
2024-04-07,Scrivania Legno,Arredamento,1,450.00,450.00
2024-04-08,Cuffie ANC,Elettronica,2,200.00,400.00
2024-04-09,Webcam HD,Accessori,3,80.00,240.00
2024-04-10,Stampante Laser,Ufficio,1,180.00,180.00
